name,vertices,orbits,runtime_ms
Cycle_4,4,6,2.9909610748291016
Cycle_5,5,8,1.5671253204345703
Cycle_7,7,18,1.8656253814697266
Cycle_10,10,78,3.1518936157226562
Cycle_12,12,224,7.3680877685546875
Star_10,10,20,5.335092544555664
Star_20,20,40,38.39278221130371
Star_25,25,50,55.211544036865234
Star_32,32,64,182.31534957885742
