name,vertices,edges,orbits,runtime_ms
Cycle_3,3,3,4,0.1
Cycle_4,4,4,6,0.1
Cycle_5,5,5,8,0.1
Cycle_6,6,6,13,0.1
Cycle_7,7,7,18,0.1
Cycle_8,8,8,30,1.0
Cycle_9,9,9,46,2.0
Cycle_10,10,10,78,3.0
Cycle_11,11,11,126,5.0
Cycle_12,12,12,224,8.0
Cycle_13,13,13,380,14.0
Cycle_14,14,14,687,26.0
Cycle_15,15,15,1224,41.0
Cycle_16,16,16,2250,74.0
Cycle_17,17,17,4112,167.0
Cycle_18,18,18,7685,365.0
Cycle_19,19,19,14310,709.0
Cycle_20,20,20,27012,1534.0
