name,vertices,edges,orbits,runtime_ms
Path_2,2,1,3,0.1
Path_3,3,2,6,0.1
Path_4,4,3,10,0.1
Path_5,5,4,20,0.1
Path_6,6,5,36,0.1
Path_7,7,6,72,0.1
Path_8,8,7,136,6.0
Path_9,9,8,272,7.0
Path_10,10,9,528,21.0
Path_11,11,10,1056,37.0
Path_12,12,11,2080,70.0
Path_13,13,12,4160,107.0
Path_14,14,13,8256,374.0
Path_15,15,14,16512,609.0
Path_16,16,15,32896,1957.0
Path_17,17,16,65792,4661.0
Path_18,18,17,131328,30732.0
Path_19,19,18,262656,100312.0
